Epoch,train_acc
1,0.406
2,0.567
3,0.647
4,0.692
5,0.723
6,0.753
7,0.767
8,0.78
9,0.795
10,0.806
11,0.813
12,0.819
13,0.829
14,0.834
15,0.838
16,0.845
17,0.85
18,0.854
19,0.856
20,0.861
21,0.865
22,0.869
23,0.873
24,0.877
25,0.875
26,0.88
27,0.883
28,0.887
29,0.89
30,0.891
31,0.894
32,0.896
33,0.899
34,0.899
35,0.898
36,0.902
37,0.903
38,0.908
39,0.905
40,0.91
41,0.91
42,0.91
43,0.914
44,0.914
45,0.916
46,0.918
47,0.92
48,0.919
49,0.922
50,0.923
51,0.921
52,0.925
53,0.926
54,0.924
55,0.925
56,0.927
57,0.928
58,0.928
59,0.929
60,0.933
61,0.932
62,0.932
63,0.934
64,0.936
65,0.935
66,0.937
67,0.937
68,0.939
69,0.938
70,0.939
71,0.939
72,0.941
73,0.941
74,0.944
75,0.943
76,0.944
77,0.945
78,0.946
79,0.945
80,0.946
81,0.947
82,0.948
83,0.947
84,0.951
85,0.95
86,0.953
87,0.952
88,0.953
89,0.955
90,0.954
91,0.955
92,0.955
93,0.956
94,0.957
95,0.955
96,0.957
97,0.958
98,0.959
99,0.96
100,0.961
101,0.96
102,0.962
103,0.963
104,0.963
105,0.962
106,0.964
107,0.965
108,0.967
109,0.966
110,0.966
111,0.968
112,0.969
113,0.968
114,0.969
115,0.969
116,0.971
117,0.972
118,0.972
119,0.973
120,0.971
121,0.973
122,0.975
123,0.976
124,0.974
125,0.975
126,0.976
127,0.978
128,0.977
129,0.979
130,0.979
131,0.979
132,0.979
133,0.981
134,0.98
135,0.981
136,0.982
137,0.982
138,0.985
139,0.983
140,0.984
141,0.984
142,0.986
143,0.986
144,0.986
145,0.987
146,0.987
147,0.988
148,0.988
149,0.989
150,0.988
151,0.989
152,0.989
153,0.99
154,0.991
155,0.991
156,0.992
157,0.991
158,0.991
159,0.992
160,0.992
161,0.991
162,0.992
163,0.993
164,0.993
165,0.994
166,0.994
167,0.994
168,0.995
169,0.995
170,0.994
171,0.994
172,0.995
173,0.995
174,0.994
175,0.994
176,0.995
177,0.995
178,0.995
179,0.995
180,0.995
181,0.996
182,0.995
183,0.996
184,0.995
185,0.996
186,0.996
187,0.996
188,0.996
189,0.996
190,0.996
191,0.996
192,0.996
193,0.995
194,0.996
195,0.995
196,0.996
197,0.995
198,0.996
199,0.996
200,0.997
