Epoch,MiniResnet2111,MiniResnet1211,MiniResnet3111,MiniResnet2211,MiniResnet1121
1,0.457,0.454,0.452,0.468,0.463
2,0.638,0.64,0.64,0.665,0.647
3,0.713,0.722,0.714,0.735,0.729
4,0.756,0.766,0.761,0.776,0.771
5,0.788,0.791,0.789,0.801,0.799
6,0.807,0.812,0.809,0.823,0.819
7,0.824,0.828,0.825,0.837,0.835
8,0.835,0.838,0.84,0.849,0.846
9,0.848,0.853,0.85,0.861,0.858
10,0.856,0.861,0.859,0.868,0.868
11,0.866,0.868,0.868,0.878,0.875
12,0.872,0.876,0.877,0.882,0.882
13,0.879,0.882,0.884,0.89,0.889
14,0.882,0.888,0.888,0.897,0.894
15,0.89,0.895,0.892,0.902,0.901
16,0.895,0.9,0.896,0.906,0.905
17,0.9,0.904,0.902,0.909,0.908
18,0.905,0.909,0.906,0.914,0.913
19,0.908,0.913,0.909,0.917,0.918
20,0.913,0.916,0.915,0.922,0.921
21,0.914,0.919,0.915,0.925,0.923
22,0.916,0.923,0.919,0.928,0.928
23,0.92,0.926,0.924,0.931,0.93
24,0.922,0.928,0.925,0.935,0.935
25,0.927,0.932,0.929,0.935,0.937
26,0.931,0.932,0.93,0.938,0.94
27,0.933,0.936,0.933,0.94,0.942
28,0.934,0.939,0.935,0.943,0.945
29,0.935,0.94,0.939,0.947,0.948
30,0.939,0.943,0.943,0.946,0.95
