Epoch,train_loss
1,1.601
2,1.2
3,0.999
4,0.874
5,0.793
6,0.715
7,0.671
8,0.63
9,0.59
10,0.557
11,0.539
12,0.518
13,0.491
14,0.475
15,0.465
16,0.443
17,0.435
18,0.415
19,0.413
20,0.396
21,0.384
22,0.377
23,0.366
24,0.356
25,0.354
26,0.343
27,0.334
28,0.324
29,0.318
30,0.311
31,0.304
32,0.299
33,0.294
34,0.29
35,0.29
36,0.279
37,0.275
38,0.268
39,0.272
40,0.262
41,0.257
42,0.258
43,0.25
44,0.241
45,0.24
46,0.238
47,0.231
48,0.228
49,0.225
50,0.221
51,0.226
52,0.216
53,0.213
54,0.216
55,0.216
56,0.206
57,0.206
58,0.205
59,0.201
60,0.191
61,0.196
62,0.193
63,0.19
64,0.183
65,0.186
66,0.18
67,0.18
68,0.175
69,0.179
70,0.174
71,0.171
72,0.17
73,0.168
74,0.161
75,0.166
76,0.16
77,0.158
78,0.157
79,0.156
80,0.155
81,0.15
82,0.15
83,0.149
84,0.142
85,0.142
86,0.139
87,0.138
88,0.135
89,0.132
90,0.136
91,0.131
92,0.132
93,0.125
94,0.125
95,0.126
96,0.125
97,0.121
98,0.116
99,0.116
100,0.115
101,0.115
102,0.108
103,0.107
104,0.109
105,0.109
106,0.106
107,0.103
108,0.097
109,0.098
110,0.099
111,0.095
112,0.09
113,0.092
114,0.092
115,0.091
116,0.088
117,0.085
118,0.083
119,0.081
120,0.084
121,0.079
122,0.073
123,0.073
124,0.074
125,0.073
126,0.069
127,0.065
128,0.068
129,0.061
130,0.062
131,0.061
132,0.064
133,0.057
134,0.057
135,0.055
136,0.054
137,0.055
138,0.049
139,0.051
140,0.048
141,0.046
142,0.044
143,0.043
144,0.042
145,0.04
146,0.041
147,0.038
148,0.036
149,0.036
150,0.035
151,0.034
152,0.034
153,0.033
154,0.03
155,0.03
156,0.028
157,0.029
158,0.029
159,0.026
160,0.026
161,0.027
162,0.026
163,0.023
164,0.022
165,0.022
166,0.022
167,0.02
168,0.019
169,0.019
170,0.02
171,0.018
172,0.018
173,0.018
174,0.019
175,0.019
176,0.017
177,0.016
178,0.016
179,0.017
180,0.016
181,0.016
182,0.016
183,0.016
184,0.015
185,0.015
186,0.016
187,0.015
188,0.015
189,0.014
190,0.015
191,0.014
192,0.015
193,0.016
194,0.015
195,0.015
196,0.014
197,0.016
198,0.015
199,0.014
200,0.013
