Epoch,MiniResnet2111,MiniResnet1211,MiniResnet3111,MiniResnet2211,MiniResnet1121
1,1.475,1.473,1.492,1.447,1.461
2,1.015,1.014,1.01,0.942,0.989
3,0.816,0.793,0.812,0.751,0.775
4,0.692,0.677,0.688,0.641,0.659
5,0.609,0.604,0.604,0.57,0.577
6,0.554,0.543,0.548,0.512,0.523
7,0.508,0.495,0.502,0.472,0.479
8,0.472,0.465,0.464,0.44,0.447
9,0.44,0.429,0.434,0.404,0.411
10,0.417,0.404,0.407,0.383,0.382
11,0.39,0.383,0.382,0.352,0.361
12,0.37,0.357,0.359,0.339,0.342
13,0.348,0.341,0.339,0.318,0.322
14,0.337,0.322,0.327,0.298,0.307
15,0.316,0.303,0.312,0.285,0.289
16,0.301,0.289,0.297,0.272,0.274
17,0.29,0.277,0.283,0.262,0.264
18,0.276,0.264,0.269,0.247,0.249
19,0.267,0.253,0.262,0.238,0.234
20,0.254,0.24,0.246,0.227,0.225
21,0.248,0.236,0.242,0.216,0.219
22,0.238,0.222,0.233,0.207,0.205
23,0.229,0.21,0.221,0.2,0.198
24,0.221,0.209,0.217,0.19,0.187
25,0.211,0.196,0.207,0.187,0.179
26,0.201,0.193,0.199,0.177,0.172
27,0.193,0.184,0.193,0.171,0.166
28,0.189,0.178,0.184,0.165,0.156
29,0.186,0.172,0.177,0.153,0.15
30,0.174,0.165,0.166,0.152,0.145
