Wall time,Step,Value
1712576306.208993,0,0.41157999634742737
1712576518.329234,1,0.5913000106811523
1712576732.978194,2,0.6740400195121765
1712576944.298601,3,0.7279800176620483
1712577158.286311,4,0.7688599824905396
1712577369.9808419,5,0.8028799891471863
1712577583.08696,6,0.836080014705658
1712577796.542343,7,0.8593400120735168
1712578008.913078,8,0.7681800127029419
1712578223.271043,9,0.8036999702453613
1712578433.6292899,10,0.8287400007247925
1712578643.2748191,11,0.8579800128936768
1712578859.3102999,12,0.8823000192642212
1712579073.519008,13,0.9020199775695801
1712579285.077475,14,0.9175199866294861
1712579499.098659,15,0.9282799959182739
1712579712.5170581,16,0.8552600145339966
1712579927.8305101,17,0.8666200041770935
1712580138.7692611,18,0.8891800045967102
1712580338.021006,19,0.9017199873924255
1712580538.949068,20,0.9188399910926819
1712580735.822369,21,0.9305400252342224
1712580934.15726,22,0.9373800158500671
1712581134.526171,23,0.9429200291633606
1712581334.638861,24,0.8941400051116943
1712581532.8465369,25,0.8981199860572815
1712581733.512526,26,0.9110199809074402
1712581933.034614,27,0.9218999743461609
1712582131.08417,28,0.9336000084877014
1712582328.841782,29,0.9419999718666077
1712582527.03085,30,0.9475399851799011
1712582728.303997,31,0.9506400227546692
1712582928.331609,32,0.9120200276374817
1712583131.531178,33,0.9138000011444092
1712583334.470391,34,0.9238399863243103
1712583532.16519,35,0.9332200288772583
1712583712.511221,36,0.9412599802017212
1712583878.5222552,37,0.9465600252151489
1712584059.246748,38,0.953499972820282
1712584219.577627,39,0.9556400179862976
